date,store_id,product_id,quantity_on_hand
2025-06-08,ST01,P001,120
2025-06-08,ST01,P002,167
2025-06-08,ST01,P003,105
2025-06-08,ST01,P004,157
2025-06-08,ST01,P005,177
2025-06-08,ST01,P006,106
2025-06-08,ST01,P007,192
2025-06-08,ST01,P008,119
2025-06-08,ST01,P009,160
2025-06-08,ST01,P010,162
2025-06-08,ST01,P011,146
2025-06-08,ST01,P012,176
2025-06-08,ST01,P013,145
2025-06-08,ST01,P014,122
2025-06-08,ST01,P015,125
2025-06-08,ST01,P016,116
2025-06-08,ST01,P017,116
2025-06-08,ST01,P018,137
2025-06-08,ST01,P019,150
2025-06-08,ST01,P020,102
2025-06-08,ST01,P021,124
2025-06-08,ST01,P022,143
2025-06-08,ST01,P023,143
2025-06-08,ST01,P024,113
2025-06-08,ST01,P025,107
2025-06-08,ST01,P026,131
2025-06-08,ST01,P027,197
2025-06-08,ST01,P028,184
2025-06-08,ST01,P029,111
2025-06-08,ST01,P030,112
2025-06-08,ST02,P001,179
2025-06-08,ST02,P002,109
2025-06-08,ST02,P003,140
2025-06-08,ST02,P004,107
2025-06-08,ST02,P005,113
2025-06-08,ST02,P006,146
2025-06-08,ST02,P007,98
2025-06-08,ST02,P008,134
2025-06-08,ST02,P009,138
2025-06-08,ST02,P010,136
2025-06-08,ST02,P011,131
2025-06-08,ST02,P012,124
2025-06-08,ST02,P013,133
2025-06-08,ST02,P014,152
2025-06-08,ST02,P015,186
2025-06-08,ST02,P016,166
2025-06-08,ST02,P017,77
2025-06-08,ST02,P018,160
2025-06-08,ST02,P019,130
2025-06-08,ST02,P020,115
2025-06-08,ST02,P021,113
2025-06-08,ST02,P022,141
2025-06-08,ST02,P023,102
2025-06-08,ST02,P024,115
2025-06-08,ST02,P025,168
2025-06-08,ST02,P026,112
2025-06-08,ST02,P027,138
2025-06-08,ST02,P028,119
2025-06-08,ST02,P029,179
2025-06-08,ST02,P030,108
2025-06-08,ST03,P001,128
2025-06-08,ST03,P002,105
2025-06-08,ST03,P003,130
2025-06-08,ST03,P004,135
2025-06-08,ST03,P005,172
2025-06-08,ST03,P006,101
2025-06-08,ST03,P007,96
2025-06-08,ST03,P008,98
2025-06-08,ST03,P009,133
2025-06-08,ST03,P010,129
2025-06-08,ST03,P011,117
2025-06-08,ST03,P012,66
2025-06-08,ST03,P013,128
2025-06-08,ST03,P014,114
2025-06-08,ST03,P015,147
2025-06-08,ST03,P016,112
2025-06-08,ST03,P017,143
2025-06-08,ST03,P018,173
2025-06-08,ST03,P019,154
2025-06-08,ST03,P020,150
2025-06-08,ST03,P021,100
2025-06-08,ST03,P022,82
2025-06-08,ST03,P023,100
2025-06-08,ST03,P024,131
2025-06-08,ST03,P025,144
2025-06-08,ST03,P026,102
2025-06-08,ST03,P027,152
2025-06-08,ST03,P028,176
2025-06-08,ST03,P029,160
2025-06-08,ST03,P030,89
2025-06-08,ST04,P001,138
2025-06-08,ST04,P002,108
2025-06-08,ST04,P003,92
2025-06-08,ST04,P004,151
2025-06-08,ST04,P005,136
2025-06-08,ST04,P006,85
2025-06-08,ST04,P007,154
2025-06-08,ST04,P008,124
2025-06-08,ST04,P009,111
2025-06-08,ST04,P010,118
2025-06-08,ST04,P011,110
2025-06-08,ST04,P012,179
2025-06-08,ST04,P013,119
2025-06-08,ST04,P014,185
2025-06-08,ST04,P015,126
2025-06-08,ST04,P016,102
2025-06-08,ST04,P017,131
2025-06-08,ST04,P018,105
2025-06-08,ST04,P019,151
2025-06-08,ST04,P020,116
2025-06-08,ST04,P021,95
2025-06-08,ST04,P022,128
2025-06-08,ST04,P023,139
2025-06-08,ST04,P024,128
2025-06-08,ST04,P025,124
2025-06-08,ST04,P026,132
2025-06-08,ST04,P027,113
2025-06-08,ST04,P028,122
2025-06-08,ST04,P029,113
2025-06-08,ST04,P030,161
2025-06-08,ST05,P001,130
2025-06-08,ST05,P002,143
2025-06-08,ST05,P003,167
2025-06-08,ST05,P004,132
2025-06-08,ST05,P005,97
2025-06-08,ST05,P006,121
2025-06-08,ST05,P007,113
2025-06-08,ST05,P008,109
2025-06-08,ST05,P009,97
2025-06-08,ST05,P010,141
2025-06-08,ST05,P011,143
2025-06-08,ST05,P012,114
2025-06-08,ST05,P013,124
2025-06-08,ST05,P014,134
2025-06-08,ST05,P015,149
2025-06-08,ST05,P016,142
2025-06-08,ST05,P017,121
2025-06-08,ST05,P018,148
2025-06-08,ST05,P019,133
2025-06-08,ST05,P020,107
2025-06-08,ST05,P021,80
2025-06-08,ST05,P022,130
2025-06-08,ST05,P023,96
2025-06-08,ST05,P024,164
2025-06-08,ST05,P025,132
2025-06-08,ST05,P026,116
2025-06-08,ST05,P027,112
2025-06-08,ST05,P028,154
2025-06-08,ST05,P029,147
2025-06-08,ST05,P030,145
2025-06-09,ST01,P001,117
2025-06-09,ST01,P002,162
2025-06-09,ST01,P003,101
2025-06-09,ST01,P004,155
2025-06-09,ST01,P005,175
2025-06-09,ST01,P006,104
2025-06-09,ST01,P007,185
2025-06-09,ST01,P008,108
2025-06-09,ST01,P009,156
2025-06-09,ST01,P010,159
2025-06-09,ST01,P011,143
2025-06-09,ST01,P012,166
2025-06-09,ST01,P013,142
2025-06-09,ST01,P014,111
2025-06-09,ST01,P015,119
2025-06-09,ST01,P016,114
2025-06-09,ST01,P017,109
2025-06-09,ST01,P018,129
2025-06-09,ST01,P019,144
2025-06-09,ST01,P020,98
2025-06-09,ST01,P021,116
2025-06-09,ST01,P022,140
2025-06-09,ST01,P023,138
2025-06-09,ST01,P024,109
2025-06-09,ST01,P025,98
2025-06-09,ST01,P026,120
2025-06-09,ST01,P027,194
2025-06-09,ST01,P028,183
2025-06-09,ST01,P029,109
2025-06-09,ST01,P030,104
2025-06-09,ST02,P001,170
2025-06-09,ST02,P002,105
2025-06-09,ST02,P003,134
2025-06-09,ST02,P004,100
2025-06-09,ST02,P005,109
